"","country","total_wins","total_losses","total_draws","total_GP","win_perc","home_goals","H_goals_against","H_total_matches","away_goals","A_goals_against","A_total_matches","total_goals","total_goals_against","diff","total_matches","goals_per_game","goals_against_per_game","avg_diff"
"1","Algeria",3,7,3,13,0.346153846153846,5,10,6,8,9,7,13,19,-6,13,1,1.46153846153846,-0.461538461538462
"2","Argentina",47,24,10,81,0.641975308641975,114,61,60,23,32,21,137,93,44,81,1.69135802469136,1.14814814814815,0.54320987654321
"3","Australia",2,10,4,16,0.25,7,10,6,6,21,10,13,31,-18,16,0.8125,1.9375,-1.125
"4","Austria",12,13,4,29,0.482758620689655,30,35,20,13,12,9,43,47,-4,29,1.48275862068966,1.62068965517241,-0.137931034482759
"5","Belgium",21,19,8,48,0.520833333333333,45,38,26,23,34,22,68,72,-4,48,1.41666666666667,1.5,-0.0833333333333333
"6","Bosnia and Herzegovina",1,2,0,3,0.333333333333333,3,1,1,1,3,2,4,4,0,3,1.33333333333333,1.33333333333333,0
"7","Brazil",76,19,14,109,0.761467889908257,177,83,84,52,22,25,229,105,124,109,2.10091743119266,0.963302752293578,1.13761467889908
"8","Bulgaria",4,15,7,26,0.288461538461538,17,30,13,5,23,13,22,53,-31,26,0.846153846153846,2.03846153846154,-1.19230769230769
"9","Cameroon",4,12,7,23,0.326086956521739,12,22,11,6,21,12,18,43,-25,23,0.782608695652174,1.8695652173913,-1.08695652173913
"10","Chile",11,16,6,33,0.424242424242424,29,26,21,11,23,12,40,49,-9,33,1.21212121212121,1.48484848484848,-0.272727272727273
"11","Colombia",9,11,2,22,0.454545454545455,16,20,11,16,10,11,32,30,2,22,1.45454545454545,1.36363636363636,0.0909090909090909
"12","Costa Rica",6,9,3,18,0.416666666666667,6,10,7,13,18,11,19,28,-9,18,1.05555555555556,1.55555555555556,-0.5
"13","Croatia",13,8,2,23,0.608695652173913,8,8,6,27,18,17,35,26,9,23,1.52173913043478,1.1304347826087,0.391304347826087
"14","Cuba",1,1,1,3,0.5,5,12,3,0,0,0,5,12,-7,3,1.66666666666667,4,-2.33333333333333
